BA Code,Timestamp (Hour Ending),Local Date,Hour Number,Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SWPP,2/1/2021 12 a.m. CST,2/1/2021,0,29026,29876,28945,-82
SWPP,2/1/2021 1 a.m. CST,2/1/2021,1,28662,29518,28580,-82
SWPP,2/1/2021 2 a.m. CST,2/1/2021,2,28530,29451,28446,-84
SWPP,2/1/2021 3 a.m. CST,2/1/2021,3,28597,29661,28492,-106
SWPP,2/1/2021 4 a.m. CST,2/1/2021,4,28783,29912,28594,-189
SWPP,2/1/2021 5 a.m. CST,2/1/2021,5,29485,30482,29220,-265
SWPP,2/1/2021 6 a.m. CST,2/1/2021,6,30953,31757,30599,-354
SWPP,2/1/2021 7 a.m. CST,2/1/2021,7,33224,33902,32514,-710
SWPP,2/1/2021 8 a.m. CST,2/1/2021,8,34740,35390,34491,-249
SWPP,2/1/2021 9 a.m. CST,2/1/2021,9,34678,35520,34350,-328
SWPP,2/1/2021 10 a.m. CST,2/1/2021,10,34190,35508,33725,-465
SWPP,2/1/2021 11 a.m. CST,2/1/2021,11,33486,35061,33057,-428
SWPP,2/1/2021 12 p.m. CST,2/1/2021,12,32613,34337,32167,-446
SWPP,2/1/2021 1 p.m. CST,2/1/2021,13,31730,33787,31525,-205
SWPP,2/1/2021 2 p.m. CST,2/1/2021,14,30957,33095,30938,-20
SWPP,2/1/2021 3 p.m. CST,2/1/2021,15,30232,32389,30231,-1
SWPP,2/1/2021 4 p.m. CST,2/1/2021,16,29700,31996,29563,-137
SWPP,2/1/2021 5 p.m. CST,2/1/2021,17,29689,32159,29558,-130
SWPP,2/1/2021 6 p.m. CST,2/1/2021,18,30703,33107,30825,122
SWPP,2/1/2021 7 p.m. CST,2/1/2021,19,32444,33896,32789,345
SWPP,2/1/2021 8 p.m. CST,2/1/2021,20,32576,34068,33005,429
SWPP,2/1/2021 9 p.m. CST,2/1/2021,21,32440,33745,33090,650
SWPP,2/1/2021 10 p.m. CST,2/1/2021,22,31874,32850,32615,741
SWPP,2/1/2021 11 p.m. CST,2/1/2021,23,30852,31724,31695,843
SWPP,2/2/2021 12 a.m. CST,2/2/2021,0,29917,30742,30709,792
SWPP,2/2/2021 1 a.m. CST,2/2/2021,1,29316,28953,29876,561
SWPP,2/2/2021 2 a.m. CST,2/2/2021,2,29104,28725,30082,978
SWPP,2/2/2021 3 a.m. CST,2/2/2021,3,29174,28704,30079,905
SWPP,2/2/2021 4 a.m. CST,2/2/2021,4,29394,28902,30065,670
SWPP,2/2/2021 5 a.m. CST,2/2/2021,5,29923,29471,30464,541
SWPP,2/2/2021 6 a.m. CST,2/2/2021,6,31188,30764,31580,392
SWPP,2/2/2021 7 a.m. CST,2/2/2021,7,33349,32845,33138,-211
SWPP,2/2/2021 8 a.m. CST,2/2/2021,8,34643,34196,34194,-449
SWPP,2/2/2021 9 a.m. CST,2/2/2021,9,34473,34080,33459,-1014
SWPP,2/2/2021 10 a.m. CST,2/2/2021,10,33791,33477,32751,-1040
SWPP,2/2/2021 11 a.m. CST,2/2/2021,11,33018,32768,31717,-1301
SWPP,2/2/2021 12 p.m. CST,2/2/2021,12,32187,32000,31289,-898
SWPP,2/2/2021 1 p.m. CST,2/2/2021,13,31137,31205,30761,-376
SWPP,2/2/2021 2 p.m. CST,2/2/2021,14,30231,30573,29792,-439
SWPP,2/2/2021 3 p.m. CST,2/2/2021,15,29490,30010,29231,-259
SWPP,2/2/2021 4 p.m. CST,2/2/2021,16,28965,29671,28641,-324
SWPP,2/2/2021 5 p.m. CST,2/2/2021,17,29052,29840,28698,-354
SWPP,2/2/2021 6 p.m. CST,2/2/2021,18,29819,30749,29854,35
SWPP,2/2/2021 7 p.m. CST,2/2/2021,19,31318,31667,31772,454
SWPP,2/2/2021 8 p.m. CST,2/2/2021,20,31522,31576,32023,501
SWPP,2/2/2021 9 p.m. CST,2/2/2021,21,31379,31280,31880,502
SWPP,2/2/2021 10 p.m. CST,2/2/2021,22,30745,30618,31327,582
SWPP,2/2/2021 11 p.m. CST,2/2/2021,23,29775,29522,30439,664
SWPP,2/3/2021 12 a.m. CST,2/3/2021,0,28941,28542,29808,867
SWPP,2/3/2021 1 a.m. CST,2/3/2021,1,28504,28105,29376,872
SWPP,2/3/2021 2 a.m. CST,2/3/2021,2,28314,27847,29159,846
SWPP,2/3/2021 3 a.m. CST,2/3/2021,3,28350,27780,29227,878
SWPP,2/3/2021 4 a.m. CST,2/3/2021,4,28453,27887,29130,677
SWPP,2/3/2021 5 a.m. CST,2/3/2021,5,29079,28423,29653,573
SWPP,2/3/2021 6 a.m. CST,2/3/2021,6,30503,29705,31141,638
SWPP,2/3/2021 7 a.m. CST,2/3/2021,7,32752,31743,33010,258
SWPP,2/3/2021 8 a.m. CST,2/3/2021,8,34000,33034,34477,477
SWPP,2/3/2021 9 a.m. CST,2/3/2021,9,33538,32931,33381,-157
SWPP,2/3/2021 10 a.m. CST,2/3/2021,10,32420,32417,32150,-271
SWPP,2/3/2021 11 a.m. CST,2/3/2021,11,31495,31794,31123,-372
SWPP,2/3/2021 12 p.m. CST,2/3/2021,12,30639,31058,30136,-503
SWPP,2/3/2021 1 p.m. CST,2/3/2021,13,29756,30328,29550,-206
SWPP,2/3/2021 2 p.m. CST,2/3/2021,14,29123,29736,29106,-17
SWPP,2/3/2021 3 p.m. CST,2/3/2021,15,28699,29217,28902,202
SWPP,2/3/2021 4 p.m. CST,2/3/2021,16,28468,28864,28882,414
SWPP,2/3/2021 5 p.m. CST,2/3/2021,17,28688,28976,29200,512
SWPP,2/3/2021 6 p.m. CST,2/3/2021,18,29319,29682,29650,331
SWPP,2/3/2021 7 p.m. CST,2/3/2021,19,30521,30462,31258,736
SWPP,2/3/2021 8 p.m. CST,2/3/2021,20,30559,30304,31491,932
SWPP,2/3/2021 9 p.m. CST,2/3/2021,21,30157,29945,30880,723
SWPP,2/3/2021 10 p.m. CST,2/3/2021,22,29479,29168,30298,819
SWPP,2/3/2021 11 p.m. CST,2/3/2021,23,28327,28007,29288,962
SWPP,2/4/2021 12 a.m. CST,2/4/2021,0,27228,26939,28322,1095
SWPP,2/4/2021 1 a.m. CST,2/4/2021,1,26594,27499,27722,1127
SWPP,2/4/2021 2 a.m. CST,2/4/2021,2,26263,27280,27426,1163
SWPP,2/4/2021 3 a.m. CST,2/4/2021,3,26096,27311,27329,1233
SWPP,2/4/2021 4 a.m. CST,2/4/2021,4,26171,27345,27203,1031
SWPP,2/4/2021 5 a.m. CST,2/4/2021,5,26632,27735,27920,1288
